lf,base,janela,cenario,n_champ,n_chall,n_ctrl,rec_champ,rec_chall,rec_ctrl,rec_ml,orf_semana,sp_champ,sp_chall,sp_ctrl,sp_ml,roas_champ,roas_chall,roas_ctrl,roas_ml,roas_mais_champ_%,roas_mais_chall_%,roas_mais_ml_%,dinheiro_novo
LF48,recebido,7d,teto,124,0,0,78047.35224800001,0.0,0.0,78047.35224800001,16985.604800000005,82191.02,0.0,0.0,82191.02,0.9495849090083078,,,0.9495849090083078,,,,
LF48,recebido,60d,piso,179,0,0,92331.174166,0.0,0.0,92331.174166,0.0,82191.02,0.0,0.0,82191.02,1.1233730177092338,,,1.1233730177092338,,,,
LF49,contratado,7d,piso,98,0,0,198649.6,0.0,0.0,198649.6,45950.26,96631.46,0.0,0.0,96631.46,2.0557445784219754,,,2.0557445784219754,,,,
LF49,contratado,7d,teto,98,0,0,244599.86,0.0,0.0,244599.86,45950.26,96631.46,0.0,0.0,96631.46,2.5312652835836276,,,2.5312652835836276,,,,
LF49,contratado,60d,piso,137,0,0,282460.23,0.0,0.0,282460.23,0.0,96631.46,0.0,0.0,96631.46,2.923066980463712,,,2.923066980463712,,,,
LF49,recebido,7d,piso,98,0,0,51755.566964666665,0.0,0.0,51755.566964666665,18977.040770666667,96631.46,0.0,0.0,96631.46,0.5355974851737381,,,0.5355974851737381,,,,
LF49,recebido,7d,teto,98,0,0,70732.60773533332,0.0,0.0,70732.60773533332,18977.040770666667,96631.46,0.0,0.0,96631.46,0.7319832250835631,,,0.7319832250835631,,,,
LF49,recebido,60d,piso,137,0,0,76263.53773533333,0.0,0.0,76263.53773533333,0.0,96631.46,0.0,0.0,96631.46,0.7892205885674637,,,0.7892205885674637,,,,
LF50,contratado,7d,piso,78,0,0,152292.35,0.0,0.0,152292.35,50784.79,85364.36,0.0,0.0,85364.36,1.7840273153807984,,,1.7840273153807984,,,,
LF50,contratado,7d,teto,78,0,0,203077.14,0.0,0.0,203077.14,50784.79,85364.36,0.0,0.0,85364.36,2.3789452647451466,,,2.3789452647451466,,,,
LF50,contratado,60d,piso,102,0,0,207475.89,0.0,0.0,207475.89,0.0,85364.36,0.0,0.0,85364.36,2.430474380643163,,,2.430474380643163,,,,
LF50,recebido,7d,piso,78,0,0,42425.958331,0.0,0.0,42425.958331,27201.002453333334,85364.36,0.0,0.0,85364.36,0.4969984936453574,,,0.4969984936453574,,,,
LF50,recebido,7d,teto,78,0,0,69626.96078433334,0.0,0.0,69626.96078433334,27201.002453333334,85364.36,0.0,0.0,85364.36,0.8156443834913463,,,0.8156443834913463,,,,
LF50,recebido,60d,piso,102,0,0,59882.835977,0.0,0.0,59882.835977,0.0,85364.36,0.0,0.0,85364.36,0.7014969242081824,,,0.7014969242081824,,,,
LF51,contratado,7d,piso,110,14,0,240435.09,34828.37,0.0,275263.46,59465.869999999995,146048.5,6401.66,0.0,152450.16,1.6462688079644776,5.440521677189979,,1.8055963995052549,,,,
LF51,contratado,7d,teto,110,14,0,292376.8980604607,42352.43193953931,0.0,334729.33,59465.869999999995,146048.5,6401.66,0.0,152450.16,2.001916473366455,6.615851504069149,,2.1956640124221583,,,,
LF51,contratado,60d,piso,152,19,0,338504.24,38653.0,0.0,377157.24,0.0,146048.5,6401.66,0.0,152450.16,2.317752253532217,6.037965152788495,,2.4739707718247064,,,,
LF51,recebido,7d,piso,110,14,0,57693.477396,5983.5206,0.0,63676.997996000006,23131.264199999998,146048.5,6401.66,0.0,152450.16,0.39502957850303155,0.9346826604349496,,0.4176905947228918,,,,
LF51,recebido,7d,teto,110,14,0,78651.17185809501,8157.090337904992,0.0,86808.262196,23131.264199999998,146048.5,6401.66,0.0,152450.16,0.5385277620659918,1.2742148658168337,,0.5694206040584018,,,,
LF51,recebido,60d,piso,152,19,0,79147.00234566667,6889.4406,0.0,86036.44294566667,0.0,146048.5,6401.66,0.0,152450.16,0.5419227335143234,1.0761959554240619,,0.564357839609133,,,,
LF52,contratado,7d,piso,64,7,0,125280.9,15431.25,0.0,140712.15,28872.72,104237.41,5801.33,0.0,110038.74,1.2018803997528333,2.659950390686274,,1.278751010780385,,,,
LF52,contratado,7d,teto,64,7,0,150987.28247690765,18597.587523092356,0.0,169584.87,28872.72,104237.41,5801.33,0.0,110038.74,1.4484941872299748,3.2057454968244103,,1.54113787562453,,,,
LF52,contratado,60d,piso,110,11,0,224952.16,26110.42,0.0,251062.58000000002,0.0,104237.41,5801.33,0.0,110038.74,2.158075109502433,4.500764479869271,,2.2815835586630673,,,,
LF52,recebido,7d,piso,64,7,0,48718.411308,6108.385742,0.0,54826.79705,11700.3924,104237.41,5801.33,0.0,110038.74,0.46737933442513585,1.0529285081179662,,0.49824995315286236,,,,
LF52,recebido,7d,teto,64,7,0,59115.234760742576,7411.954689257429,0.0,66527.18945,11700.3924,104237.41,5801.33,0.0,110038.74,0.5671211013468445,1.2776302484529287,,0.6045797093823503,,,,
LF52,recebido,60d,piso,110,11,0,71263.785508,7420.765742,0.0,78684.55125,0.0,104237.41,5801.33,0.0,110038.74,0.6836680373006198,1.2791490472012452,,0.7150622703422449,,,,
LF53,contratado,7d,piso,31,4,3,54562.84,5076.0,5548.0,59638.84,109738.54,120496.15,5473.030000000001,2911.26,125969.18,0.4528181190851326,0.9274570027936991,1.9057040594107018,0.47343993189445227,-76.2388017777977,-51.332579777339845,-75.15669185063007,-180421.13768663738
LF53,contratado,7d,teto,31,4,3,146416.447259588,13621.173060083906,14887.759680328116,160037.6203196719,109738.54,120496.15,5473.030000000001,2911.26,125969.18,1.2151130742317326,2.488780997013337,5.113854372446334,1.2704506000568703,-76.2388017777977,-51.33257977733986,-75.15669185063007,-484150.42161680735
LF53,contratado,60d,piso,144,7,3,302996.06,13115.0,5548.0,316111.06,0.0,120496.15,5473.030000000001,2911.26,125969.18,2.514570465529397,2.3962960188414826,1.9057040594107018,2.5094317514807987,31.949683011483643,25.743344409020462,31.680033900792903,76051.08231336263
LF53,recebido,7d,piso,31,4,3,32006.71052,2073.8505999999998,633.02,34080.56112,59583.09768,120496.15,5473.030000000001,2911.26,125969.18,0.26562434169058513,0.3789218403699595,0.21743849742036092,0.2705468204206775,22.160677544174433,74.26621544271089,24.424526305314487,6690.0118995250195
LF53,recebido,7d,teto,31,4,3,86943.68036866549,5633.450009993878,1719.548421340633,92577.13037865936,59583.09768,120496.15,5473.030000000001,2911.26,125969.18,0.7215473720003958,1.0293110050545817,0.5906543631762993,0.734918893483782,22.160677544174412,74.2662154427109,24.424526305314444,18172.884585918757
LF53,recebido,60d,piso,144,7,3,116503.82076999999,2937.8706,633.02,119441.69136999999,0.0,120496.15,5473.030000000001,2911.26,125969.18,0.966867578507695,0.5367905164049895,0.21743849742036092,0.9481818598009449,344.66255514933374,146.8700449889719,336.0689901052257,92051.14214952501
LF54,contratado,7d,piso,16,0,0,33393.83,0.0,0.0,33393.83,56484.48,41623.66,0.0,2723.45,41623.66,0.8022800013261688,,0.0,0.8022800013261688,,,,
LF54,contratado,7d,teto,16,0,0,89878.31,0.0,0.0,89878.31,56484.48,41623.66,0.0,2723.45,41623.66,2.1593081915429826,,0.0,2.1593081915429826,,,,
LF54,contratado,60d,piso,28,0,0,63466.31,0.0,0.0,63466.31,0.0,41623.66,0.0,2723.45,41623.66,1.5247652416918644,,0.0,1.5247652416918644,,,,
LF54,recebido,7d,piso,16,0,0,8569.684016,0.0,0.0,8569.684016,11020.295494999998,41623.66,0.0,2723.45,41623.66,0.20588492256567537,,0.0,0.20588492256567537,,,,
LF54,recebido,7d,teto,16,0,0,19589.979510999998,0.0,0.0,19589.979510999998,11020.295494999998,41623.66,0.0,2723.45,41623.66,0.4706452895060164,,0.0,0.4706452895060164,,,,
LF54,recebido,60d,piso,28,0,0,16259.925815999999,0.0,0.0,16259.925815999999,0.0,41623.66,0.0,2723.45,41623.66,0.3906414240362332,,0.0,0.3906414240362332,,,,
LF55,contratado,7d,piso,19,0,0,40552.36,0.0,0.0,40552.36,65865.70999999999,30972.32,0.0,0.0,30972.32,1.3093097320446128,,,1.3093097320446128,,,,
LF55,contratado,7d,teto,19,0,0,106418.06999999999,0.0,0.0,106418.06999999999,65865.70999999999,30972.32,0.0,0.0,30972.32,3.4359089018840048,,,3.4359089018840048,,,,
LF55,contratado,60d,piso,21,0,0,45661.03,0.0,0.0,45661.03,0.0,30972.32,0.0,0.0,30972.32,1.4742528167085966,,,1.4742528167085966,,,,
LF55,recebido,7d,piso,19,0,0,9921.4224,0.0,0.0,9921.4224,21053.461616,30972.32,0.0,0.0,30972.32,0.32033190926608013,,,0.32033190926608013,,,,
LF55,recebido,7d,teto,19,0,0,30974.884016,0.0,0.0,30974.884016,21053.461616,30972.32,0.0,0.0,30972.32,1.0000827841117488,,,1.0000827841117488,,,,
LF55,recebido,60d,piso,21,0,0,10337.8524,0.0,0.0,10337.8524,0.0,30972.32,0.0,0.0,30972.32,0.3337771403627497,,,0.3337771403627497,,,,
LF56,contratado,7d,piso,21,6,15,40181.770000000004,10205.0,29335.02,50386.770000000004,60962.04000000001,20169.34,2739.23,18921.83,22908.57,1.992220370126142,3.72549950168478,1.5503267918589267,2.1994725118154475,28.503253674495355,140.30414240714384,41.871541107675725,14871.00016582435
LF56,contratado,7d,teto,21,6,15,70908.15823100686,18008.60825064264,51767.06351835051,88916.76648164951,60962.04000000001,20169.34,2739.23,18921.83,22908.57,3.51564097937795,6.574332294346455,2.7358381043667817,3.881375680876175,28.503253674495355,140.3041424071438,41.871541107675725,26242.627759095783
LF56,contratado,60d,piso,21,6,15,40181.770000000004,10205.0,29335.02,50386.770000000004,0.0,20169.34,2739.23,18921.83,22908.57,1.992220370126142,3.72549950168478,1.5503267918589267,2.1994725118154475,28.503253674495355,140.30414240714384,41.871541107675725,14871.00016582435
LF56,recebido,7d,piso,21,6,15,29780.643957,9184.203,14218.111008,38964.846957,15160.645719999999,20169.34,2739.23,18921.83,22908.57,1.4765304148276543,3.3528411268860223,0.7514131037008576,1.7008851690437248,96.50048788814718,346.20477209841283,126.35819906074705,21751.047271951647
LF56,recebido,7d,teto,21,6,15,38270.08887735713,11802.30573876069,18271.20906888218,50072.39461611782,15160.645719999999,20169.34,2739.23,18921.83,22908.57,1.8974388293001718,4.308621670601114,0.9656153273167648,2.1857494647687665,96.50048788814713,346.20477209841283,126.35819906074705,27951.5282972088
LF56,recebido,60d,piso,21,6,15,29780.643957,9184.203,14218.111008,38964.846957,0.0,20169.34,2739.23,18921.83,22908.57,1.4765304148276543,3.3528411268860223,0.7514131037008576,1.7008851690437248,96.50048788814718,346.20477209841283,126.35819906074705,21751.047271951647
